Model,Max memory.used [MB],Faketensor Estimate [MB],Max memory.used [GB],FakeTensor Estimation(GB),FakeTensor overhead,Execution time(m),Run folder,Time,Script,batch_size,epochs,GB after forward,GB after backward,Execution time(s),Execution time(h)
BERT_base_on_wiki,19828.0,,19.36328125,,,14.915822948298107,2025-09-22_02-25-43_BERT_base_on_wiki.py,2025-09-22_02-25-43,BERT_base_on_wiki.py,,,,,894.9493768978864,0.24859704913830177
BERT_large_on_wiki,12622.0,,12.326171875,,,44.93245027444015,2025-09-22_02-40-43_BERT_large_on_wiki.py,2025-09-22_02-40-43,BERT_large_on_wiki.py,,,,,2695.947016466409,0.7488741712406691
efficientNet_cifar100,666.0,64.1101303100586,0.650390625,0.0626075491309166,1.0603940831497312,1.4212479214649647,2025-09-22_03-25-44_efficientNet_cifar100.py_--batch_size_32_--epochs_1,2025-09-22_03-25-44,efficientNet_cifar100.py,,,0.05713236331939697,0.0626075491309166,85.27487528789788,0.02368746535774941
efficientNet_cifar100,720.0,118.4839096069336,0.703125,0.11570694297552109,1.0835810042917728,0.7648798192851245,2025-09-22_03-27-13_efficientNet_cifar100.py_--batch_size_64_--epochs_1,2025-09-22_03-27-13,efficientNet_cifar100.py,,,0.11363136768341064,0.11570694297552109,45.89278915710747,0.01274799698808541
efficientNet_cifar100,866.0,233.3501205444336,0.845703125,0.22788097709417343,1.1385594997555017,0.412883617154633,2025-09-22_03-28-03_efficientNet_cifar100.py_--batch_size_128_--epochs_1,2025-09-22_03-28-03,efficientNet_cifar100.py,,,0.226629376411438,0.22788097709417343,24.77301702927798,0.006881393619243883
efficientNet,3752.0,2730.012855529785,3.6640625,2.666028179228306,0.88639020267874,41.956585583851364,2025-09-22_03-28-31_efficientNet.py_--batch_size_32_--num_epochs_1,2025-09-22_03-28-31,efficientNet.py,,,2.6538126468658447,2.666028179228306,2517.3951350310817,0.6992764263975227
efficientNet,6692.0,5454.978797912598,6.53515625,5.327127732336521,0.881812360137701,28.47949988526913,2025-09-22_04-10-32_efficientNet.py_--batch_size_64_--num_epochs_1,2025-09-22_04-10-32,efficientNet.py,,,5.307468771934509,5.327127732336521,1708.7699931161478,0.47465833142115216
efficientNet,12666.0,10904.910682678223,12.369140625,10.649326838552952,0.8973012641072273,27.519562297454105,2025-09-22_04-39-05_efficientNet.py_--batch_size_128_--num_epochs_1,2025-09-22_04-39-05,efficientNet.py,,,10.614781022071838,10.649326838552952,1651.1737378472462,0.4586593716242351
gpt2_large_on_wiki,28356.0,,27.69140625,,,65.72132750164407,2025-09-22_05-06-40_gpt2_large_on_wiki.py,2025-09-22_05-06-40,gpt2_large_on_wiki.py,,,,,3943.279650098644,1.0953554583607346
Inception,5230.0,1590.3041152954102,5.107421875,1.553031362593174,0.9861924340948462,58.744665604860835,2025-09-22_06-12-29_Inception.py_--batch_size_32_--num_epochs_1,2025-09-22_06-12-29,Inception.py,,,1.5343842506408691,1.553031362593174,3524.67993629165,0.9790777600810139
Inception,9332.0,3158.37931060791,9.11328125,3.0843547955155373,1.0011093635112047,51.2631514225776,2025-09-22_07-11-17_Inception.py_--batch_size_64_--num_epochs_1,2025-09-22_07-11-17,Inception.py,,,3.0686402320861816,3.0843547955155373,3075.789085354656,0.85438585704296
Inception,17830.0,6298.15470123291,17.412109375,6.150541700422764,1.0046220403164625,49.794204673776406,2025-09-22_08-02-36_Inception.py_--batch_size_128_--num_epochs_1,2025-09-22_08-02-36,Inception.py,,,6.137152194976807,6.150541700422764,2987.652280426584,0.8299034112296068
mobilenet_cifar100,590.0,15.167076110839844,0.576171875,0.014811597764492035,0.9511759355664253,0.9446409926284105,2025-09-22_08-52-27_mobilenet_cifar100.py_--batch_size_32_--epochs_1,2025-09-22_08-52-27,mobilenet_cifar100.py,,,0.011885464191436768,0.014811597764492035,56.67845955770463,0.01574401654380684
